country,air_quality_Carbon_Monoxide,air_quality_Nitrogen_dioxide,air_quality_Ozone,air_quality_PM10,air_quality_PM2.5,air_quality_Sulphur_dioxide,air_quality_gb-defra-index,air_quality_us-epa-index
Japan,516.9591891891891,64.6922973,51.524324324324326,45.768054054054055,42.204027027027024,43.88464864864865,4.827027027027027,2.5783783783783782
Jordan,216.44837837837835,10.766486486486487,87.84864864864865,45.89043243243243,22.229216216216216,22.14845945945946,2.4162162162162164,1.837837837837838
Kazakhstan,411.76594594594593,10.779216216216216,52.02162162162162,17.74191891891892,15.484162162162162,19.600594594594597,1.7675675675675675,1.4864864864864864
Kenya,594.7224324324324,12.032405405405404,72.20540541,31.437945945945945,29.499027027027026,11.87072972972973,3.2432432432432434,2.0486486486486486
Kuwait,431.57,46.30762162162162,77.41621621621621,682.4675945945946,135.4899189189189,24.60772972972973,9.632432432432433,4.286486486486487
Kyrgyzstan,381.7845945945946,7.825,74.38378378378378,27.756648648648646,19.768486486486488,9.715594594594595,2.151351351351351,1.7459459459459459
Latvia,284.74567567567567,13.33108108108108,53.44864864864865,16.187783783783782,11.718297297297298,1.7293513513513514,1.4864864864864864,1.1837837837837837
Lebanon,379.31459459459455,19.508378378378378,82.10810810810811,51.34897297297297,33.186216216216216,61.971162162162166,3.5945945945945947,2.2162162162162162
Lesotho,1000.515945945946,10.691648648648648,60.02162162162162,41.22445945945946,40.74518918918919,8.869405405405406,4.6378378378378375,2.443243243243243
Liberia,302.1681081081081,3.487351351351351,45.1027027,22.13778378378378,16.383945945945946,1.851972972972973,1.8324324324324324,1.5351351351351352
Lithuania,257.2318918918919,9.907756756756756,52.189189189189186,13.742243243243244,9.908108108108108,0.8456756756756758,1.2540540540540541,1.0918918918918918
Luxembourg,270.9075675675676,15.364378378378378,51.454054054054055,16.868135135135134,12.82081081081081,1.4838108108108108,1.518918918918919,1.3405405405405406
Macedonia,272.78315217391304,22.04741847826087,63.483695652173914,23.41171195652174,18.998315217391305,13.491195652173914,2.0597826086956523,1.641304347826087
Madagascar,207.98976510067112,2.180453020134228,58.50335570469799,9.565671140939598,8.332365772,1.1404697986577181,1.1946308724832215,1.070469798657718
Malawi,290.8810810810811,1.6217027027027027,69.27567567567567,16.31316216216216,15.237513513513514,1.468756756756757,1.8054054054054054,1.4054054054054055
Malaysia,2259.1521621621623,95.87408108108109,32.30810810810811,73.03978378378379,71.95516216216217,43.28410810810811,7.756756756756757,3.3675675675675674
Mali,303.6578378378378,3.1453243243243243,51.19459459,70.14283783783783,22.656,0.8889729729729731,2.675675675675676,1.7243243243243243
Malta,222.9943243243243,14.871513513513513,83.41621621621621,27.77802702702703,14.492243243243244,2.0708108108108108,1.6756756756756757,1.3783783783783783
Mauritania,249.09945945945947,1.098108108108108,60.49189189189189,304.0873243243243,72.65667567567567,0.9842972972972973,6.286486486486487,3.097297297297297
Mexico,1074.9486413043478,76.27372282608695,41.15760869565217,49.18394022,48.42067934782609,44.03706522,5.7228260869565215,2.8152173913043477
Mongolia,277.53695652173917,5.152798913043478,103.36413043478261,21.09703804347826,11.134375,20.88540760869565,1.4021739130434783,1.2391304347826086
